question,a,b,c,d,answer,category,times_missed
What does str.count() do?,Returns the length of the string,Returns the number of non-overlapping occurrences of a substring,Counts only alphabetic characters,Counts the number of words,b,strings,0
What does enumerate() do?,Returns the length of an iterable,Converts a list to a dictionary,Returns index-value pairs when iterating,Sorts an iterable,c,built_ins,0
What does list.clear() do?,Deletes the list variable,Removes all items from the list,Resets items to None,Removes only duplicate items,b,lists,0
What is the difference between a class and an instance?,There is no difference,A class is a blueprint; an instance is an object created from that class,An instance is a blueprint; a class is created from it,A class can only have one instance,b,OOP,0
What is a mixin class?,A class that replaces inheritance,A class with no methods,"A small class that provides specific functionality through multiple inheritance, not meant to stand alone",A class that cannot be instantiated,c,OOP,0
What is an infinite loop?,A loop that runs exactly 1000 times,A loop that runs very fast,A loop whose condition never becomes False so it runs forever,A loop inside another loop,c,control_flow,0
What does \t represent in a string?,A newline,A space,A tab character,A backslash followed by t,c,strings,0
What does list.copy() do?,Creates a deep copy of the list,Creates a shallow copy of the list,Returns a reference to the same list,Copies the list to a file,b,lists,0
What does reversed() return?,A sorted list in reverse,A new reversed list,A reverse iterator over a sequence,The last element,c,built_ins,0
What exception is raised when dividing by zero?,ZeroDivisionError,ValueError,DivisionError,MathError,a,error_handling,0
What is the difference between __new__ and __init__?,They are identical,__new__ creates the instance; __init__ initializes it,__init__ creates the instance; __new__ initializes it,__new__ is for class methods; __init__ is for instance methods,b,OOP,0
What does a double underscore prefix on an attribute do (e.g. __attr)?,Makes it public,"Triggers name mangling, making it harder to access from outside the class",Marks it as deprecated,Makes it a class variable,b,OOP,0
Which built-in function returns the largest value in a list?,max(),high(),largest(),top(),a,built_ins,0
What does dict.items() return?,A list of values,A sorted dictionary,A list of keys,A view of key-value pairs as tuples,d,dictionaries,0
"What is the output of {'a': 1, 'b': 2}.get('c', 0)?",None,Error,0,c,c,dictionaries,0
What is the difference between eval() and exec()?,They are identical,eval() evaluates expressions and returns a value; exec() executes statements and returns None,exec() returns a value; eval() does not,eval() is for numbers; exec() is for strings,b,built_ins,0
What is a ChainMap?,A map of chains,A view that groups multiple dictionaries into a single mapping,A linked list,A type of generator,b,data_structures,0
What does set.issubset() check?,If two sets are equal,If the set has no elements,If all elements of the set are in another set,If the set contains only numbers,c,data_types,0
What does str.center() do?,Centers the string in the console,Pads the string with a fill character to center it within a given width,Finds the middle character,Removes characters from both ends,b,strings,0
What does \n represent in a string?,A tab character,A newline character,A null character,A backslash followed by n,b,strings,0
What does the 'continue' statement do?,Exits the loop,Skips the rest of the current iteration and moves to the next,Restarts the loop from the top,Raises an error,b,control_flow,0
What does the ABC module provide?,Abstract Base Classes for defining interfaces,Alphabetical sorting,Basic class templates,Automatic method generation,a,OOP,0
What is a dunder method?,A method that starts with a single underscore,A deprecated method,A method with double underscores before and after its name like __init__,A private method,c,OOP,0
What is an AttributeError?,An error when a key is missing from a dictionary,An error when an index is out of range,An error when accessing an attribute that doesn't exist on an object,An error when a file cannot be opened,c,error_handling,0
Why is eval() considered dangerous?,It is slow,It can execute arbitrary code — potentially harmful with untrusted input,It only works with numbers,It modifies global variables,b,built_ins,0
What does __call__ allow?,Calling a class method,Calling an instance like a function using obj(),Creating a new instance,Calling super(),b,OOP,0
Which of these creates an empty dictionary?,(),set(),{},[],c,dictionaries,0
Which method converts a string to all uppercase?,str.to_upper(),str.upper(),str.capitalize(),str.cap(),b,strings,0
What does the eq dunder method define?,How an object is copied,How an object is printed,How two objects are compared with ==,How an object is deleted,c,OOP,0
What module can be used for exact decimal arithmetic?,math,fractions,numbers,decimal,d,modules,0
What does str.title() do?,Converts to uppercase,Converts the first character of each word to uppercase,Converts only the first character to uppercase,Adds a title attribute to the string,b,strings,0
"What does ** do when used with dictionaries like {**dict1, **dict2}?",Raises an error,Creates a nested dictionary,Unpacks and merges the dictionaries,Compares the dictionaries,c,syntax,0
What is PEP 8?,A Python Enhancement Proposal for code style guidelines,A Python version,A Python package,A Python error code,a,syntax,0
What does set.discard() do?,Removes an element and raises an error if not found,Clears the set,Removes an element if present but does not raise an error if not found,Adds an element to the set,c,data_types,0
What is a nested list?,A list with only numbers,A list inside a dictionary,A list that contains other lists as elements,A sorted list,c,lists,0
What is an ImportError?,An error when a module has syntax errors,An error when a module cannot be found or a name cannot be imported from it,An error when importing too many modules,An error when circular imports occur,b,error_handling,0
What does the walrus operator (:=) do?,Compares two values,Assigns a value within an expression,Checks type equality,Creates a constant,b,operators,0
What is the difference between a module and a package?,They are the same,A module is a single .py file; a package is a directory containing modules and an __init__.py,A package is a single file; a module is a directory,Modules are for classes; packages are for functions,b,modules,0
What is the output of print(type(3.14))?,<class 'float'>,<class 'double'>,<class 'int'>,<class 'number'>,a,data_types,0
What is the difference between a list and a deque for queue operations?,They perform the same,Lists are faster for all operations,deque provides O(1) pops from the left vs O(n) for lists,deque is slower,c,data_structures,0
What are Python's four scope levels?,"Public, Protected, Private, Global","File, Function, Class, Module","Local, Enclosing, Global, Built-in (LEGB)","Instance, Class, Module, Package",c,syntax,0
What does __getitem__ allow?,Getting an attribute by name,Iterating over an object,Using indexing syntax like obj[key] on a custom object,Getting the length of an object,c,OOP,0
What is an f-string in Python?,A file string for I/O operations,A formatted string literal prefixed with f that allows embedded expressions,A frozen string that cannot be modified,A function that returns a string,b,strings,0
What does iter() do?,Iterates over an object,Returns an iterator from an iterable,Creates a new list,Counts iterations,b,built_ins,0
What is the time complexity of inserting at the beginning of a list?,O(1),O(log n),O(n),O(n^2),c,data_structures,0
What is the purpose of str?,To define the string representation shown to end users,To delete an instance,To define what is returned when repr() is called,To initialize an instance,a,OOP,0
What does [i for i in range(10) if i % 2 == 0] produce?,"[1, 3, 5, 7, 9]","[0, 2, 4, 6, 8]","[2, 4, 6, 8, 10]","[0, 1, 2, 3, 4]",b,comprehensions,0
What is a nested loop?,A loop that uses break,A loop with an else clause,A loop inside another loop,A loop that calls a function,c,control_flow,0
How do you create a virtual environment?,python -m venv myenv,python --virtual myenv,pip install virtualenv myenv,python create-env myenv,a,modules,0
What is the output of f'{10:04d}'?,10,0010,  10,1000,b,strings,0
What does str.isalpha() do?,Returns True if all characters are alphabetic,Returns True if the string contains at least one letter,Removes non-alphabetic characters,Counts alphabetic characters,a,strings,0
What does str.rstrip() do?,Removes leading whitespace,Right-aligns the string,Removes trailing whitespace or specified characters,Removes all whitespace,c,strings,0
What is the output of bool(None)?,True,0,Error,False,d,data_types,0
What does __setitem__ allow?,Setting an attribute by name,Using assignment with indexing like obj[key] = value on a custom object,Setting the length of an object,Setting a class variable,b,OOP,0
"What does set([1, 2, 2, 3]) return?","[1, 2, 3]","{1, 2, 2, 3}","{1, 2, 3}","(1, 2, 3)",c,data_types,0
What is a constructor in Python?,The init method,The del method,The new method,The str method,a,OOP,0
What does the input() function do?,Reads from a file,Reads a line of text from the user via standard input,Imports a module,Returns system input,b,built_ins,0
How can you implement a stack in Python?,Using a dictionary,Using a set,Using a list with append() and pop(),Using a tuple,c,data_structures,0
What is a list's underlying implementation in CPython?,A linked list,A hash table,A dynamic array,A binary tree,c,data_structures,0
What does the dataclasses.dataclass decorator do?,Creates a database table,"Automatically generates __init__, __repr__, and other methods for a class",Makes a class immutable,Converts a class to a dictionary,b,OOP,0
What exception is raised when accessing an index that doesn't exist?,ValueError,TypeError,KeyError,IndexError,d,error_handling,0
"What does 'abc'.maketrans('a', 'x') do?",Replaces a with x in the string,Creates a translation table mapping a to x,Translates the string to binary,Creates a new string xbc,b,strings,0
What does 'or' return in the expression 'a or b'?,Always the larger value,Always True,b if a is truthy — otherwise a,a if a is truthy — otherwise b,d,operators,0
What does dict.popitem() do?,Removes a random item,Removes the first item,Removes and returns the last inserted key-value pair,Removes all items,c,dictionaries,0
"What does delattr(obj, 'x') do?",Deletes the object obj,Sets x to None,Deletes the attribute x from obj,Returns and removes x,c,built_ins,0
What does @classmethod indicate?,The method is private,The method receives self as its first argument,The method receives cls as its first argument,The method is inherited automatically,c,OOP,0
What does the id() function return?,The type of an object,The value of an object,The unique identity or memory address of an object,The size of an object,c,built_ins,0
What happens if you open a non-existent file in r mode?,It creates the file,It returns None,It opens an empty file,It raises a FileNotFoundError,d,file_io,0
Can dictionary keys be mutable types like lists?,Yes — any type can be a key,Only if the list is empty,Only if the list has one element,No — dictionary keys must be hashable and immutable,d,dictionaries,0
What does any() return?,True if the iterable is not empty,True if all elements are truthy,True if at least one element is truthy,True if no elements are truthy,c,built_ins,0
What does yield from do?,Yields a single value,Delegates iteration to another iterable or sub-generator,Creates a new generator,Yields from a file,b,generators,0
What does list('abc') return?,['abc'],"['a', 'b', 'c']",[abc],Error,b,data_types,0
What is the purpose of using 'with' when opening a file?,It loads the entire file into memory,It opens the file faster,It prevents other programs from opening the file,It automatically closes the file when the block exits,d,file_io,0
What is mypy?,A Python IDE,A static type checker for Python that uses type hints,A testing framework,A Python package manager,b,modules,0
What does os.getcwd() return?,The user's home directory,The script's filename,The current working directory as a string,The system's root directory,c,modules,0
What is the output of: for i in range(3): print(i)?,1 2 3,0 1 2 3,0 1 2,1 2,c,control_flow,0
What module is used for multiprocessing in Python?,threading,subprocess,os,multiprocessing,d,modules,0
How can you create a context manager using a generator?,Using the @contextmanager decorator from contextlib with a function that uses yield,By defining __init__ and __del__,By using the with keyword inside a generator,By importing the context module,a,syntax,0
What does range(3) produce?,"[1, 2]","[1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2]",d,built_ins,0
What does @property allow you to do?,Create a read-only class,Define a class method,Access a method like an attribute,Make a method static,c,OOP,0
Can a set contain a list as an element?,Yes — sets can contain any type,Only if the list is empty,Only single-element lists,No — sets can only contain hashable immutable elements,d,data_types,0
What does re.search() do?,Replaces a pattern in a string,Finds all occurrences of a pattern,Searches for the first occurrence of a pattern anywhere in the string,Only matches at the beginning of the string,c,modules,0
What is the memory advantage of generators over lists?,Generators use more memory,No advantage,Generators produce values on demand so they don't store all values in memory at once,Generators compress data,c,generators,0
What does str.replace() do?,Replaces occurrences of a substring with another string,Finds a substring,Removes whitespace,Splits a string on a delimiter,a,strings,0
"What does open('file.txt', 'r+') do?",Opens for reading only,Opens for writing only,Opens for both reading and writing without truncating,Opens for appending,c,file_io,0
Which keyword is used to handle exceptions?,catch,try,handle,error,b,error_handling,0
What does the ~ operator do in Python?,Logical NOT,Floor division,String reversal,Bitwise NOT — inverts all bits,d,operators,0
What is exception chaining?,Catching the same exception twice,Raising a new exception while preserving the original using from,Catching exceptions in a loop,Having nested try/except blocks,b,error_handling,0
How do you create a deep copy of an object?,Using the copy() method,Using copy.copy(),Using copy.deepcopy(),Using the clone() method,c,data_structures,0
What is scope in Python?,The size of a variable,The lifetime of a function,The region of code where a name is accessible,The number of arguments a function takes,c,syntax,0
What does str.startswith() do?,Returns the first character,Checks if a string begins with a specified prefix,Removes the first character,Adds a prefix to the string,b,strings,0
What is a set comprehension?,A comprehension using square brackets,A comprehension that creates a list of unique values,"A comprehension using curly braces like {x for x in iterable}, producing a set",A comprehension that sorts values,c,comprehensions,0
What does str.endswith() do?,Returns the last character,Adds a suffix to the string,Removes the last character,Checks if a string ends with a specified suffix,d,strings,0
What does file.tell() return?,The file size,The number of lines,The current position of the file cursor,The file name,c,file_io,0
What does len('hello') return?,4,3,6,5,d,strings,0
What does __new__ do?,Initializes an instance,Creates a new class at runtime,Allocates memory and creates a new instance before __init__ is called,Defines a new method,c,OOP,0
What is the output of [0] * 3?,"[0, 0, 0]",[0],Error,[000],a,lists,0
Which of these is an immutable data type?,set,tuple,dictionary,list,b,data_types,0
What does str.join() do?,Splits a string into a list,Finds the index of a substring,Combines a list of strings using the string as a separator,Adds a string to another string,c,strings,0
What does __add__ define?,How objects are created,How two objects behave with the + operator,How objects are compared,How objects are deleted,b,OOP,0
What is the output of bool(1)?,False,1,True,None,c,data_types,0
What is encapsulation?,When a function is wrapped by a decorator,The ability of a class to inherit from multiple parents,Bundling data and methods within a class and restricting direct access,When a method returns self,c,OOP,0
What does None represent in Python?,An empty string,The absence of a value,A false value,The number zero,b,data_types,0
What does exec() do?,Exits the program,Executes a string as Python code including statements,Validates code syntax,Compiles code to bytecode,b,built_ins,0
"What is the output of len({'a': 1, 'b': 2, 'c': 3})?",6,2,3,9,c,dictionaries,0
What is a dictionary comprehension?,A way to sort a dictionary,A way to invert a dictionary,A concise syntax for building a dictionary using a loop,A method to merge two dictionaries,c,comprehensions,1
What does the 'finally' block do in a try/except?,Suppresses exceptions,Always runs regardless of whether an exception occurred,Runs only if no exception occurs,Runs only if an exception occurs,b,error_handling,0
What does str.lower() do?,Removes lowercase letters,Converts the first character to lowercase,Converts the entire string to lowercase,Returns True if the string is lowercase,c,strings,0
Why is monkey patching generally discouraged?,It is too slow,It can make code unpredictable and hard to debug,It doesn't work in Python 3,It requires special imports,b,syntax,0
What does the csv module provide?,Functions for reading and writing CSV files,String splitting functions,Comma-separated variable types,Database connectivity,a,modules,0
What is a queue data structure?,A LIFO structure,A sorted structure,A FIFO (First In First Out) structure,A structure that allows random access,c,data_structures,0
What does min() do?,Returns the maximum value,Returns the average value,Returns the smallest value in an iterable or among arguments,Returns the first value,c,built_ins,0
What does __next__ define?,The next item in an iterable when using next(),The next class in the MRO,The next method to call,The successor object,a,OOP,0
What is a nested comprehension?,A comprehension with an if clause,A comprehension inside another comprehension,A comprehension inside a function,A comprehension over a dictionary,b,comprehensions,0
What does os.remove() do?,Removes a directory,Removes a file,Removes an environment variable,Removes a module,b,modules,0
Can you catch multiple exceptions in one except block?,"Yes, using a tuple of exception types",No — each needs its own block,Only if they share a parent class,Only two at a time,a,error_handling,0
What does 'hello'.translate(table) do?,Translates to another language,Applies a translation table to replace or delete characters,Moves characters around,Reverses the string,b,strings,0
What does if __name__ == '__main__' do?,Defines the main function,Checks if the script is being run directly and not imported,Checks for syntax errors,Initializes the module,b,modules,0
What does the | operator do with integers?,Logical OR,Bitwise OR,Set intersection,String joining,b,operators,0
What is the diamond problem in multiple inheritance?,When a class inherits from four classes,When two parent classes inherit from the same grandparent causing ambiguity in method resolution,When a class inherits from itself,When inheritance is more than three levels deep,b,OOP,0
Are strings mutable or immutable in Python?,Mutable,Immutable,Depends on the content,Depends on the length,b,strings,0
"What does random.randint(1, 10) do?",Returns a random float between 1 and 10,Returns a random integer between 1 and 10 inclusive,Returns a random integer between 0 and 10,Returns a random integer between 1 and 9,b,modules,0
What does the with statement use behind the scenes?,Decorators,Generators,Context managers that implement __enter__ and __exit__,Exception handlers,c,syntax,0
Is __del__ guaranteed to be called?,Yes — always called immediately,Only when using the del keyword,No — it depends on the garbage collector and may not be called in all situations,Only for class variables,c,OOP,0
What does set.remove() do?,Removes an element if present without error,Removes an element and raises a KeyError if not found,Removes all elements,Removes a random element,b,data_types,0
What is monkey patching?,Modifying a class or module at runtime by adding or changing attributes or methods,A debugging technique,A type of inheritance,A testing framework feature,a,syntax,0
What does the traceback module do?,Deletes error logs,Prevents exceptions from occurring,Provides utilities to extract and format exception tracebacks,Creates custom exceptions,c,error_handling,0
Can you have multiple except blocks for one try?,No — only one except is allowed,Only with finally,Only for the same exception type,"Yes, you can handle different exception types separately",d,error_handling,0
How do you start a comment in Python?,//,/*,#,--,c,syntax,0
What is a property setter?,A method that deletes a property,A decorator that converts a method to a class variable,A method decorated with @property_name.setter that allows controlled assignment,A method that returns a property value,c,OOP,0
What is duck typing?,A typing system for the Duck class,If an object has the right methods it is treated as that type regardless of its actual class,A type checking library,A way to create type aliases,b,syntax,0
What does set.symmetric_difference() return?,Elements common to both sets,Elements in either set but not in both,All elements from both sets,An empty set,b,data_types,0
What does str.lstrip() do?,Removes leading whitespace or specified characters,Removes trailing whitespace,Removes all whitespace,Left-aligns the string,a,strings,0
What does generator.throw() do?,Throws away the generator,Throws an exception at the point where the generator is paused,Sends a value to the generator,Restarts the generator,b,generators,0
"What does list.insert(i, x) do?",Removes the element at index i and replaces it with x,Inserts x at position i,Replaces the element at index i with x,Appends x to the list,b,lists,0
What does list.remove() do?,Removes the item at a given index,Clears the list,Removes the first occurrence of a given value,Removes the last item,c,lists,1
What does the format spec :>10 do in an f-string?,Left-aligns in 10 characters,Centers in 10 characters,Right-aligns in a field of 10 characters,Truncates to 10 characters,c,strings,0
What does shutil.copy() do?,Copies a directory,Moves a file,Copies a file to a destination,Copies the contents of a file to a string,c,modules,0
What does json.dumps() do?,Reads a JSON file,Converts a Python object to a JSON string,Deletes a JSON file,Parses a JSON string into a Python object,b,modules,0
What does str.encode() do?,Encrypts a string,Converts a string to bytes using a specified encoding,Compresses a string,Hashes a string,b,strings,0
What is a custom exception?,An exception from a third-party library,An exception with a custom message,A user-defined exception class that inherits from Exception,An exception that cannot be caught,c,error_handling,0
What does the property() built-in function do?,Creates a class property that cannot be modified,"Creates a managed attribute with optional getter, setter, and deleter methods",Returns the properties of an object,Lists all attributes of a class,b,OOP,0
What does list.index() do?,Returns the number of occurrences of a value,Returns the last index of a value,Returns the first index of a given value,Returns all indices of a value,c,lists,0
What does str.swapcase() do?,Converts to uppercase,Converts to lowercase,Swaps the case of each character in the string,Reverses the string,c,strings,0
What is a stack data structure?,A FIFO structure,A structure that allows random access,A LIFO (Last In First Out) structure,A sorted structure,c,data_structures,0
What does pip freeze do?,Stops all running Python processes,Outputs a list of installed packages and their versions,Freezes a virtual environment,Caches installed packages,b,modules,0
What is operator overloading?,Using operators in expressions,Defining custom behavior for built-in operators in a class using dunder methods,Having multiple operators on one line,Using more than two operands,b,OOP,0
"What does divmod(10, 3) return?","(3, 1)","(1, 3)","(3.33, 1)","(10, 3)",a,built_ins,0
What exception is raised when a dictionary key doesn't exist?,IndexError,KeyError,ValueError,AttributeError,b,error_handling,0
What does dict.get() do?,Returns the value for a key or a default if the key is missing,Raises an error if the key is missing,Removes a key-value pair,Returns all keys,a,dictionaries,0
What is an abstract class?,A class imported from another module,A class that cannot be instantiated and is meant to be subclassed,A class with no attributes,A class with only static methods,b,OOP,0
What does zip() do?,Combines two or more iterables into tuples,Flattens a nested list,Compresses files,Sorts two lists simultaneously,a,built_ins,0
What does the pass statement do?,Does nothing; acts as a placeholder,Exits a loop,Skips a loop iteration,Raises an exception,a,syntax,0
What is the difference between SyntaxError and TypeError?,They are the same,SyntaxError is a runtime error; TypeError is a compile-time error,SyntaxError occurs when code violates language grammar; TypeError occurs when an operation is applied to an inappropriate type,SyntaxError cannot be caught,c,error_handling,0
What does str.strip() do?,Removes all spaces,Removes leading and trailing whitespace,Splits a string,Converts to lowercase,b,strings,0
What is a class variable?,A variable passed to __init__,A variable defined inside a method,A variable shared by all instances — defined inside the class but outside any method,A variable that can only be accessed by class methods,c,OOP,0
What module is used for threading in Python?,multiprocessing,concurrent,thread,threading,d,modules,0
What does 'self' refer to in a class method?,The current instance of the class,The module the class is in,The parent class,The class itself,a,OOP,0
What mode string opens a file for appending?,w,rw,r,a,d,file_io,0
What does dict.update() do?,Returns an updated copy of the dictionary,Sorts the dictionary,Merges another dictionary or key-value pairs into the dictionary,Validates dictionary values,c,dictionaries,0
What are the standard logging levels in Python?,"print, warn, error, crash","LOW, MEDIUM, HIGH, CRITICAL","DEBUG, INFO, WARNING, ERROR, CRITICAL","TRACE, DEBUG, INFO, FATAL",c,modules,0
What does dict.values() return?,A view of all values in the dictionary,A list of key-value pairs,A sorted list of values,A list of keys,a,dictionaries,0
What is method chaining?,Calling multiple methods on the same object in sequence,Defining methods inside other methods,Importing methods from another module,Calling a method on a parent class,a,OOP,0
Why is from module import * generally discouraged?,It is slower,It can cause name conflicts and makes it unclear where names come from,It doesn't work with packages,It only imports functions,b,modules,0
What does next() do with a generator?,Returns the next value from the generator,Returns all remaining values,Converts the generator to a list,Resets the generator,a,generators,0
What does the datetime module provide?,Date validation only,Classes for manipulating dates and times,Time zone databases,Calendar printing only,b,modules,0
What does collections.defaultdict do?,Creates a dictionary with a default value factory for missing keys,Creates an ordered dictionary,Creates an immutable dictionary,Creates a counter,a,modules,0
What is the result of type([]) in Python?,<class 'set'>,<class 'dict'>,<class 'list'>,<class 'tuple'>,c,data_types,0
What is a namespace in Python?,A naming convention for variables,A mapping from names to objects such as a module's global variables,A type of class,A file naming standard,b,syntax,0
What does the x mode do in open()?,Opens for exclusive reading,Opens for execution,Creates a new file and raises FileExistsError if it already exists,Opens for XML parsing,c,file_io,0
What is the GIL in Python?,Global Import Lock,General Iteration Limit,Global Interpreter Lock — a mutex that allows only one thread to execute Python bytecode at a time,Garbage Instruction Layer,c,syntax,0
What is the output of bool('')?,True,None,Error,False,d,data_types,0
What does str(42) return?,42,The integer 42,Error,The string '42',d,data_types,0
What does vars() return?,All variables in the program,The __dict__ attribute of an object,All global variables,A list of variable names,b,built_ins,0
What does float('3.14') return?,The string '3.14',The integer 3,The float 3.14,An error,c,data_types,0
What does __slots__ do?,Limits the methods a class can have,Restricts the attributes an instance can have — saving memory by not using __dict__,Defines default values for attributes,Makes a class immutable,b,OOP,0
What does sum() do?,Concatenates strings,Returns the sum of all items in an iterable,Counts items in an iterable,Returns the average of items,b,built_ins,0
What does the union of two sets return?,All unique elements from both sets,Elements in both sets,Elements only in the first set,Elements in neither set,a,data_types,0
What does __delitem__ allow?,Deleting an attribute,Deleting an item using del obj[key] on a custom object,Deleting the entire object,Deleting a class,b,OOP,0
"What does the * operator do in unpacking like a, *b = [1, 2, 3, 4]?",Multiplies the values,Collects remaining values into a list,Ignores the remaining values,Creates a tuple,b,syntax,0
"What does open('file.txt', 'rb') do?",Opens for reading in binary mode,Opens for reading backwards,Opens for reading with buffering,Opens a remote file,a,file_io,0
What does os.listdir() return?,A list of all files on the system,A list of entries in the specified directory,A list of open file handles,A list of environment variables,b,modules,0
What does the as keyword do in an except clause?,Creates an alias for the module,Assigns the exception object to a variable,Converts the exception to a string,Suppresses the exception,b,error_handling,0
What does the __all__ variable in a module control?,Which classes are public,Which names are exported when from module import * is used,Which methods are inherited,Which files are included,b,modules,0
What does yield do in a generator?,Returns a value and terminates the function,Pauses the function and yields a value — resuming where it left off on next iteration,Raises a StopIteration,Creates a new generator,b,generators,0
What is a NameError?,An error when a variable name is too long,An error when a name is used before being defined,An error when two variables have the same name,An error when a class has no name,b,error_handling,0
What is the effect of the GIL on multithreading?,It makes multithreading impossible,It prevents CPU-bound threads from running truly in parallel,It speeds up multithreading,It has no effect,b,syntax,0
How does Python resolve the diamond problem?,It raises an error,It ignores one parent,Using the C3 linearization algorithm to determine the MRO,It picks the first parent alphabetically,c,OOP,0
What does list.reverse() do?,Returns a new reversed list,Sorts the list in reverse order,Reverses the list in place and returns None,Reverses only the first half,c,lists,0
Can dictionaries be nested?,No — dictionaries cannot contain other dictionaries,Only one level deep,"Yes, dictionaries can contain other dictionaries as values",Only if the inner dictionary is empty,c,dictionaries,0
What does sys.path contain?,All Python files,A list of directories Python searches when importing modules,The PATH environment variable,All installed packages,b,modules,0
What does file.readline() do?,Reads all lines,Reads a single line from the file,Reads a specified number of characters,Reads the last line,b,file_io,0
What does import os allow you to do?,Create GUIs,Interact with the operating system,Open database connections,Connect to the internet,b,modules,0
"What does {k: v for k, v in zip(keys, values)} create?",A list of tuples,A set,A dictionary from keys and values using a comprehension,A tuple of pairs,c,comprehensions,0
What does str.ljust() do?,Left-strips the string,Left-justifies the string within a given width by padding on the right,Finds the leftmost character,Splits from the left,b,strings,0
"What is the output of [1, 2, 3] + [4, 5]?","[1, 2, 3, 4, 5]","[5, 7, 3]",Error,"[[1, 2, 3], [4, 5]]",a,lists,0
What is the output of print(10 == 10.0)?,False,Error,TypeError,True,d,operators,0
"What does hasattr(obj, 'x') do?",Returns the value of x,Sets x to None,Checks if obj has an attribute named x,Deletes attribute x,c,built_ins,0
What does math.floor() do?,Rounds a number up,Returns the absolute value,Rounds a number down to the nearest integer,Returns the floor division result,c,modules,0
What does math.sqrt() do?,Returns the square of a number,Returns the square root of a number,Returns a random number,Returns the absolute value,b,modules,0
What is an iterable in Python?,A function that loops,"Any object that can return an iterator, such as lists, strings, and dictionaries",A type of generator,A loop variable,b,syntax,0
What does re.match() do?,Matches a pattern anywhere in the string,Matches a pattern only at the beginning of the string,Replaces a pattern,Returns all matches,b,modules,0
What does itertools.chain() do?,Links two generators permanently,Chains function calls together,Chains multiple iterables into a single iterable,Creates an infinite loop,c,modules,0
What does the 'in' operator do when used with a dictionary?,Iterates over all items,Checks if a key-value pair exists,Checks if a value exists,Checks if a key exists,d,operators,0
What is a generator?,A type of class,A built-in that creates ranges,A function that uses yield to lazily produce values one at a time,A function that returns a list,c,generators,0
How do you merge two dictionaries in Python 3.9+?,dict1.merge(dict2),dict1 + dict2,dict1 | dict2,dict1.extend(dict2),c,dictionaries,0
What does math.ceil() do?,Rounds a number down,Rounds a number up to the nearest integer,Returns the ceiling of a string,Clamps a number to a range,b,modules,0
What does sorted() return?,It sorts the list in place,A new sorted list,A sorted tuple,A sorted set,b,built_ins,0
What does complex() create in Python?,A complicated data structure,A complex number with real and imaginary parts,A compressed number,An encrypted number,b,data_types,0
What does all() return?,True if at least one element is truthy,True if the iterable is not empty,True if all elements are truthy,True if no elements are falsy,c,built_ins,0
What is string immutability?,Strings can be changed in place,Strings cannot be modified after creation — operations return new strings,Strings have a fixed length,Strings cannot contain numbers,b,strings,0
